TIME,JOINT_0_X, JOINT_0_Y, JOINT_0_Z,JOINT_1_X, JOINT_1_Y, JOINT_1_Z,JOINT_2_X, JOINT_2_Y, JOINT_2_Z,JOINT_3_X, JOINT_3_Y, JOINT_3_Z,JOINT_4_X, JOINT_4_Y, JOINT_4_Z,JOINT_5_X, JOINT_5_Y, JOINT_5_Z,JOINT_6_X, JOINT_6_Y, JOINT_6_Z,JOINT_7_X, JOINT_7_Y, JOINT_7_Z,JOINT_8_X, JOINT_8_Y, JOINT_8_Z,JOINT_9_X, JOINT_9_Y, JOINT_9_Z,JOINT_10_X, JOINT_10_Y, JOINT_10_Z,JOINT_11_X, JOINT_11_Y, JOINT_11_Z,JOINT_12_X, JOINT_12_Y, JOINT_12_Z,JOINT_13_X, JOINT_13_Y, JOINT_13_Z,JOINT_14_X, JOINT_14_Y, JOINT_14_Z,JOINT_15_X, JOINT_15_Y, JOINT_15_Z,JOINT_16_X, JOINT_16_Y, JOINT_16_Z,JOINT_17_X, JOINT_17_Y, JOINT_17_Z,JOINT_18_X, JOINT_18_Y, JOINT_18_Z,JOINT_19_X, JOINT_19_Y, JOINT_19_Z,JOINT_20_X, JOINT_20_Y, JOINT_20_Z
679,369.0443637270851, 371.69855326713633, -0.0007199123501777649,351.9927895197673, 345.9003474841726, -16.15427589416504,344.9374926968578, 316.97418962981646, -25.27717399597168,334.1238304338189, 289.41376854191634, -33.27241516113281,320.0159780964227, 262.0965240904847, -41.95337677001953,404.80005943188814, 291.3172998311312, -12.633646011352539,429.1328916973395, 265.8403812226919, -16.91379737854004,446.54567800985404, 247.92040571608055, -21.123632431030273,460.2856003890108, 235.39062610355617, -24.335311889648438,421.5891786073551, 304.3760219078822, -8.751928329467773,454.16192706971043, 277.952200902439, -11.670950889587402,476.8809103726213, 262.33946586130793, -16.717103958129883,494.9209069716114, 250.6451842882389, -20.87380599975586,432.11935592886107, 320.1738684500858, -6.322260856628418,463.65175654042895, 299.3409809024895, -8.68834400177002,486.02877937857926, 287.36616943273714, -12.691861152648926,503.9461779229405, 278.05683838831817, -15.669506072998047,438.4496980487399, 338.2085867147681, -5.7332305908203125,463.3878583529733, 324.96812257948466, -7.6659955978393555,480.34718596213236, 317.54404543683677, -9.442296981811523,496.2311033152524, 309.8928036966548, -10.660795211791992
780,369.97987202719025, 373.0102165310845, -0.000680088996887207,355.2938352453232, 344.71683688140433, -11.790627479553223,348.85641771410616, 315.0749509722057, -18.823802947998047,337.0773010795637, 289.0858766113358, -25.598237991333008,322.5125969734495, 263.6434331587159, -33.22430419921875,407.23640256760916, 292.62539564074774, -7.232888698577881,430.6955422946139, 268.26585142396624, -10.849371910095215,447.99768678998515, 251.30462728074076, -14.843257904052734,462.14514312936495, 239.55814385502111, -18.137170791625977,423.90787273739835, 305.07025474665926, -5.759948253631592,455.50371384447834, 280.39735195157914, -8.718290328979492,477.97859121158893, 265.4754812154251, -13.720000267028809,496.00538308589296, 255.01110980228256, -17.588132858276367,434.3110163135447, 320.3002078519145, -5.707414627075195,464.3168683053131, 300.3714136456422, -8.221288681030273,486.73548740718604, 286.9372073083026, -12.310114860534668,504.89142652911556, 276.76457877869484, -15.315258979797363,439.4427749676627, 338.03216468550175, -7.10667610168457,463.45744657318056, 325.1176167049894, -9.489568710327148,480.70478955641846, 316.1649601204516, -11.640536308288574,497.271966332753, 307.57783583827296, -13.138498306274414
1032,372.19344260581255, 368.96027498812015, -0.0008576735854148865,356.27873364726156, 343.37146975949224, -13.399395942687988,351.65656492148105, 314.4429403397696, -21.006818771362305,344.8639048482967, 288.9225797827544, -28.19355010986328,335.12996170388817, 264.0536964426418, -36.23859405517578,406.7499245509977, 292.80382722799544, -8.6370849609375,430.52699432498616, 271.3632324891061, -12.989178657531738,448.5666602437962, 256.3553731553747, -17.51877212524414,463.69422177101814, 245.46653856117598, -21.05476188659668,422.7827799256891, 305.4219724939402, -6.851871490478516,453.009448011999, 281.9442975351807, -10.857259750366211,475.8027443199577, 267.076917054628, -16.729248046875,494.3582485948395, 256.01081047125354, -21.07912254333496,432.96457982068324, 320.2280287879217, -6.5552167892456055,462.07121040694136, 300.9136884897099, -10.073564529418945,484.46420635437, 287.2423544759796, -15.164054870605469,502.89627079210584, 276.171800003703, -18.834482192993164,437.9716531992465, 337.31423273888464, -7.830742835998535,461.74702887508937, 323.9707314366101, -10.867666244506836,478.55034819293996, 314.48826817226063, -13.66957950592041,494.9662151482215, 304.8943996670488, -15.562186241149902
1343,402.9821416538565, 340.0033146944637, -0.001866959035396576,394.68036922085344, 313.94188596454524, -12.635173797607422,399.737213236387, 293.8404927786134, -25.402189254760742,411.38809303922363, 280.37594258339675, -34.728214263916016,424.2229419430698, 268.7613979243395, -44.19645690917969,411.62934730122583, 300.0401709876, -47.98597717285156,427.56207708828674, 283.39576041380315, -65.088134765625,442.69687074825106, 271.53496400149817, -71.88720703125,455.8373400835454, 262.2021147019675, -74.94825744628906,423.28292199930127, 313.09350080540804, -45.584476470947266,443.70863921639864, 296.2607377781426, -66.89384460449219,462.31393212848667, 282.8444249325646, -75.90332794189453,477.3119454632732, 273.2196191955238, -81.338134765625,433.0221138101983, 324.59006091921884, -41.223052978515625,453.5352407828391, 311.3399519319648, -59.386966705322266,471.1745729545428, 298.83929184310006, -67.42369842529297,484.5349110803707, 288.8307902017828, -71.76216888427734,440.01898481568935, 335.0554476625432, -36.1174201965332,458.13795323702294, 325.96048701114023, -50.78074264526367,471.14052663984756, 317.56740161205465, -58.68522262573242,481.49004846728536, 309.558830352995, -63.53411102294922
1442,403.4799693058107, 338.4584082432048, -0.001554436981678009,395.78368663571956, 311.7265692822894, -9.303833961486816,401.8562891190388, 290.98837611297097, -22.12969970703125,414.1408040404669, 278.1781647201133, -32.01673889160156,426.69869622342344, 269.33731173747293, -42.23097229003906,407.26447389448, 297.8368946404259, -52.345638275146484,422.6660888279625, 279.76820310270836, -69.8992691040039,437.36103093875784, 269.1288045023263, -72.89160919189453,449.3119896000801, 261.434720651079, -72.3254623413086,418.4705099443172, 312.16696647356133, -51.17624282836914,440.74829459956084, 296.1041238264413, -72.75495910644531,458.77543852488407, 283.98784910070134, -76.37844848632812,472.3699828346829, 275.61655830492634, -77.25127410888672,429.3145982497808, 324.76994286355625, -47.744754791259766,452.53258093195893, 312.0238364426228, -66.34423065185547,470.43546939732437, 299.9136102695294, -71.22876739501953,483.4092405359173, 290.3039227986901, -72.81436157226562,438.2605790919269, 335.7628989841645, -43.03883361816406,459.0969337513943, 326.25154820268887, -57.95279312133789,472.0462362626405, 317.41454596996346, -65.0710220336914,481.77821016950975, 309.00198883949867, -69.05644226074219
1695,376.30066853724134, 362.34912173334385, -0.0014893710613250732,354.5186476124318, 339.48486323927415, -16.49859619140625,347.7581337929397, 312.0869376676711, -25.47295379638672,338.6056875549982, 287.25233515683186, -33.483001708984375,326.59261778097755, 261.7532325659388, -42.56111145019531,403.09362789800434, 289.9322026067777, -11.739795684814453,427.07947458315624, 265.9895227508441, -16.081558227539062,443.8085319193009, 248.18563521830941, -20.458986282348633,456.6983768876051, 235.66413421360392, -23.945154190063477,419.3561408596915, 303.4510906198564, -8.412019729614258,450.75220146659706, 278.27306854752203, -11.51749038696289,472.96907449047046, 262.5591048675276, -17.524301528930664,491.013643507334, 250.10430838185158, -22.653085708618164,430.3709358678489, 318.84199472442685, -6.665691375732422,460.9177403935066, 299.30753725155967, -9.71007251739502,482.66806312148424, 287.63808525452924, -15.310494422912598,499.7173667860462, 278.0293228567655, -19.639036178588867,437.9514395115464, 335.741076936426, -6.710126876831055,461.5690712759399, 322.4824737512417, -9.728791236877441,477.80809019787023, 315.0742107706256, -12.738667488098145,492.3848514197042, 307.5258857784213, -14.94382381439209
3950,374.52721749346426, 369.6297102860156, -0.0010161176323890686,359.24230050700044, 341.6973703588746, -12.154275894165039,358.698606550936, 312.5813385514255, -18.4409236907959,360.9467040435294, 287.9440331944101, -24.644393920898438,363.01885933016825, 264.8840461792463, -31.663599014282227,401.5843844678962, 291.0658950154045, -5.357994079589844,423.6299893633368, 268.7635237940985, -8.597620010375977,441.0648700200272, 254.13247402276312, -11.952203750610352,456.3571458692918, 242.70864824023252, -14.640705108642578,416.7963214996695, 303.24378256067365, -4.198849201202393,443.02631843245763, 278.4096043750765, -6.518685340881348,463.42587424185905, 262.470421818922, -10.698873519897461,480.7237290452028, 249.4876375495511, -13.792352676391602,427.3747404268706, 317.082527680945, -4.735523223876953,452.1758218319123, 295.7156257408021, -7.3197832107543945,471.8345758918941, 280.3066648240274, -11.651573181152344,487.8037201400589, 267.59197946143183, -14.873857498168945,434.2734235412218, 332.14263733973, -6.826455593109131,455.78856815107963, 315.62409420567127, -9.420424461364746,471.324584572676, 303.8143809992953, -12.206267356872559,485.6180506917842, 292.28776051790743, -14.171269416809082
4050,404.10619464414526, 333.28535855619975, -0.0011268258094787598,398.3519925865934, 306.33857973723855, -9.696552276611328,401.64898223940696, 285.06280628542044, -20.895423889160156,412.48237594763776, 269.3673980995684, -28.54786491394043,425.1920909765988, 256.26195405881845, -36.32608413696289,410.6844753241527, 293.5070185029601, -45.297760009765625,427.0531202970226, 276.33336289336813, -62.69629669189453,444.3118513833164, 262.79288812764133, -72.38082885742188,459.7727787350493, 251.9910343661709, -78.11631774902344,424.49000440418547, 306.07143320654717, -42.84260940551758,443.3076893871071, 287.38573619154914, -63.18482208251953,463.84398108227947, 270.6487939889615, -73.57942199707031,482.7044648703961, 257.14865924048377, -81.04609680175781,436.4364549259476, 316.2215115116629, -37.96442413330078,454.182971821719, 301.26208577375763, -55.788604736328125,472.7350849837931, 285.36845725334337, -65.70512390136719,488.77161674180087, 272.19226640933937, -72.07540130615234,446.1323763912011, 324.1003023228718, -31.936630249023438,462.09532614483703, 314.4188792652209, -45.87118911743164,475.04715516142517, 303.55885569274795, -54.23554229736328,486.396583697898, 293.2440125806286, -60.103782653808594
4147,404.32072080793216, 352.08083038669554, -0.001207001507282257,396.29428813794215, 325.80764238291516, -5.339462757110596,398.2947649817233, 304.4341115168231, -14.320324897766113,399.6880345351753, 288.14045410078995, -22.499675750732422,401.438309077752, 274.0125812309895, -31.224111557006836,415.95191658053403, 306.70623797927567, -36.436302185058594,427.278862613967, 285.730984849847, -50.337249755859375,433.45688720266486, 274.3186067764022, -53.506378173828125,437.90879074748455, 266.8188152232243, -54.74197769165039,423.88585642039124, 316.58407908434503, -40.58028793334961,440.4885676736509, 295.2662525677254, -61.29161071777344,449.2949581233978, 281.79032910781984, -70.47569274902344,454.271999192055, 272.1173030242855, -76.66462707519531,429.19230205082863, 327.50206514450684, -43.26222229003906,447.1054162847374, 310.91746065875213, -61.446311950683594,457.18373264858207, 299.2391866897786, -70.91441345214844,463.43502114698936, 289.78849264231127, -77.1574935913086,430.46808312040844, 339.04900920701766, -45.12116622924805,445.8527299080924, 329.82580709299526, -61.460636138916016,454.6894950294705, 322.6799081617157, -71.9035873413086,461.2421003181304, 314.9156784147022, -79.46736145019531
4245,411.7283694455428, 337.9184382092859, -0.001207798719406128,399.8448835401867, 317.48818135186497, -12.104823112487793,398.93160235430224, 298.8109784285811, -23.622602462768555,403.34251653009477, 284.86981202138986, -32.52743911743164,408.55122166293484, 272.9866518586608, -42.42090606689453,415.3745687007273, 299.40606002552266, -41.98305892944336,428.10610660072206, 283.04715036485266, -58.69725799560547,440.26076430227164, 272.2370685489129, -67.9913330078125,452.62254257778943, 262.95800249575046, -74.05642700195312,427.53222062506535, 308.72153168290066, -41.49918746948242,444.2115198245475, 286.96504944008143, -61.294219970703125,460.2798366264161, 269.5890079940192, -73.92488861083984,476.44627639796147, 255.85456480305112, -83.26599884033203,437.6432832161958, 317.4099004885239, -39.32105255126953,453.0729936465167, 299.2513494525515, -57.392555236816406,468.72500891730925, 282.56462254035864, -68.73149108886719,483.64410719230574, 269.19769359975635, -76.61469268798828,444.62844765333904, 326.46794593126236, -36.759178161621094,459.0622692722925, 314.0424125437603, -50.84923553466797,470.63403177729106, 302.643106146539, -59.87386703491211,481.7012501920952, 292.1994001752015, -66.72464752197266
