TIME,JOINT_0_X, JOINT_0_Y, JOINT_0_Z,JOINT_1_X, JOINT_1_Y, JOINT_1_Z,JOINT_2_X, JOINT_2_Y, JOINT_2_Z,JOINT_3_X, JOINT_3_Y, JOINT_3_Z,JOINT_4_X, JOINT_4_Y, JOINT_4_Z,JOINT_5_X, JOINT_5_Y, JOINT_5_Z,JOINT_6_X, JOINT_6_Y, JOINT_6_Z,JOINT_7_X, JOINT_7_Y, JOINT_7_Z,JOINT_8_X, JOINT_8_Y, JOINT_8_Z,JOINT_9_X, JOINT_9_Y, JOINT_9_Z,JOINT_10_X, JOINT_10_Y, JOINT_10_Z,JOINT_11_X, JOINT_11_Y, JOINT_11_Z,JOINT_12_X, JOINT_12_Y, JOINT_12_Z,JOINT_13_X, JOINT_13_Y, JOINT_13_Z,JOINT_14_X, JOINT_14_Y, JOINT_14_Z,JOINT_15_X, JOINT_15_Y, JOINT_15_Z,JOINT_16_X, JOINT_16_Y, JOINT_16_Z,JOINT_17_X, JOINT_17_Y, JOINT_17_Z,JOINT_18_X, JOINT_18_Y, JOINT_18_Z,JOINT_19_X, JOINT_19_Y, JOINT_19_Z,JOINT_20_X, JOINT_20_Y, JOINT_20_Z
107,187.8915817374453, 234.95287570316643, -0.0025509968400001526,216.62436675592798, 230.56307747047964, -11.232333183288574,236.8438856176925, 213.32516526095867, -24.3911190032959,240.23262508760476, 192.45519936061388, -35.88056182861328,237.6530600651345, 175.15721204962006, -46.55567169189453,241.8365858556079, 202.66116009646774, -37.932621002197266,259.56414307677704, 178.75025169420658, -55.99496078491211,271.7262996896772, 160.86036347690722, -67.26084899902344,282.7252714283454, 145.69545246864465, -74.36048126220703,222.4903260168631, 196.94519510125923, -40.05036926269531,235.9209112890252, 169.16486003924462, -61.51638412475586,246.23109143228166, 149.6029730365845, -74.89763641357422,257.67417082893485, 133.1237915774468, -84.46106719970703,202.78243347926872, 194.46171134008895, -40.757225036621094,209.8913412635388, 166.08515465815927, -58.1450309753418,217.21747573838178, 149.82797605309239, -61.333106994628906,227.36116836793715, 138.9401460202549, -62.710750579833984,184.6513181248386, 196.2150034338762, -42.0445671081543,191.89898037836372, 178.4267102038538, -54.62922668457031,197.06614444768223, 174.86359598167147, -56.4724235534668,202.1522594476379, 174.62508432979172, -56.67936706542969
225,184.3912504726322, 283.4586305767906, -0.0012280270457267761,229.6312193245056, 279.3903339822999, -7.3256916999816895,265.2935108790886, 254.89103290131803, -12.92988395690918,293.0797321173452, 227.27256150178482, -17.514759063720703,315.9243300805331, 204.54431737609335, -22.403581619262695,251.23810117596008, 224.03203279105765, -18.647686004638672,264.0811970843909, 188.03309859753836, -27.13688087463379,276.2065097726037, 164.52026706222495, -32.26527404785156,287.7207301139248, 145.45655618163119, -35.71507263183594,227.97907757974647, 213.85686841052046, -18.9033145904541,239.52966521954406, 174.84359878341945, -28.63597869873047,255.4505406957325, 147.9349902669227, -34.388675689697266,270.73046389545505, 127.71813908837126, -38.87803649902344,205.28035257315955, 209.04221901201612, -19.03243637084961,213.6999739255597, 170.57301381755045, -27.19839859008789,228.4206948381232, 144.49700056861604, -31.464441299438477,243.4264495442166, 125.81094982564134, -34.88957595825195,183.92689257865476, 208.44291333260952, -19.335716247558594,188.83371437949668, 176.1772565606898, -25.431386947631836,196.18343099948868, 157.52327371462206, -28.46453857421875,205.37869335308034, 143.03138198609682, -30.98236846923828
332,192.77499075542988, 258.7814369608425, -0.0012648701667785645,233.37427898992973, 243.27455386124137, -6.4640116691589355,260.58488571065834, 219.02423654937206, -18.225467681884766,276.63135450065784, 196.06935370239722, -28.098838806152344,286.1715494190216, 177.1843413638396, -37.509273529052734,239.78155035827194, 218.29476700201366, -44.21426010131836,253.8926922086747, 186.89670355489724, -62.80221939086914,262.7269812409421, 162.94992369073637, -72.6812744140625,271.463634009777, 142.6608727750293, -78.75352478027344,215.81494325007822, 217.17553741032037, -46.73005676269531,230.25710621638575, 182.68692255180235, -67.02503204345703,243.70034963129706, 154.54373052146966, -74.06727600097656,256.8482755999382, 131.74910104788512, -80.18487548828125,192.5948447386154, 217.1558282637334, -47.53599548339844,204.56978850385516, 183.41789981733695, -65.16922760009766,218.85012870204656, 158.05352422564664, -70.84619903564453,233.57316050040922, 138.9718088573564, -75.90544891357422,171.90803529042648, 218.89962872352416, -47.64347457885742,181.00163949506185, 193.46015690857257, -61.94655227661133,192.01473859284178, 177.1170726324807, -68.44020080566406,204.9297476986084, 164.57222022027207, -75.10494995117188
441,193.8762853797083, 260.9039275733779, -0.001636415719985962,233.3372259766653, 249.35495625668764, -5.775603294372559,261.3160365827206, 224.48192379662723, -16.188329696655273,277.450229923526, 200.7951126209991, -25.204975128173828,287.16207070218326, 182.94394381682386, -34.58100891113281,241.18876696439503, 217.9613331003602, -37.699424743652344,256.9133155015922, 186.28596473224027, -54.03279495239258,267.56127068138886, 162.62463541056525, -63.87507247924805,278.12893432383476, 142.17433002806453, -70.04521179199219,216.6220659296929, 214.47202158216484, -40.069026947021484,231.91367664659487, 176.51089398402578, -57.86090087890625,246.6778248256667, 148.2819158009721, -65.26325988769531,261.23062460087425, 125.68131378534672, -70.98091125488281,193.92496895809484, 212.56646756291588, -40.93867492675781,205.54285817338302, 174.76537350049688, -55.566837310791016,219.93570016065658, 149.28652650200115, -60.656742095947266,235.29982422564575, 130.16670069943723, -64.77540588378906,174.01539175511502, 213.36936274462758, -41.368309020996094,182.7103383137225, 184.1001844426751, -52.903465270996094,193.3483754928758, 167.93557272679385, -57.90203857421875,206.38460582042734, 156.00178191983358, -62.43867874145508
547,197.77384866905058, 295.3788330585829, -0.0012182965874671936,241.07613797484717, 285.3448988820659, -6.590297698974609,274.57301454949487, 257.2132072247934, -9.776494026184082,301.0881973716035, 227.84008593661028, -13.138976097106934,326.28773100345086, 205.46454468884932, -17.275564193725586,256.4394122551796, 219.40709047712602, -6.6479339599609375,267.5092031797926, 182.89781607212828, -11.634612083435059,277.29862170824305, 158.68733470886755, -14.970105171203613,286.4560599456506, 139.28442708915463, -17.058927536010742,232.68905085384625, 212.5745741984208, -7.326380252838135,242.74270925141604, 174.4324711183782, -13.374015808105469,255.38707700143746, 149.43608428224982, -17.608062744140625,268.5109564159577, 130.46323129537896, -20.432031631469727,209.28121664395314, 210.93973189171288, -9.004039764404297,216.05894215724646, 174.90907366984734, -14.77772331237793,227.2590195358851, 150.47895512356007, -19.3519344329834,239.82856230705872, 132.06919566983203, -22.841163635253906,186.58316899625842, 213.06830305917248, -11.310476303100586,189.05282175181088, 183.1581142998532, -16.054655075073242,194.13299858283924, 165.48782116799796, -19.555431365966797,202.79043462001505, 150.41412207548552, -22.26513671875
656,190.9236123300562, 269.11533040216204, -0.0012385770678520203,230.88477621459955, 256.5746387507197, -5.200572967529297,260.5279843194714, 230.97102034873052, -14.99515151977539,280.4753475552948, 206.8045982257333, -22.60613250732422,293.0788150573718, 188.63166699985595, -30.29399871826172,238.8112093140505, 227.53775014674952, -40.970523834228516,256.7363029909756, 195.73327560847048, -57.01985168457031,267.89346409414173, 170.740035994277, -64.1919174194336,278.72895043797956, 149.56379827037782, -67.63465881347656,215.37488618978617, 222.73973650428889, -42.13494110107422,233.13189524598457, 183.56169533249428, -57.89372253417969,249.77602938475246, 153.63053004573254, -60.61991882324219,264.57772426608256, 131.58887310631857, -62.66932678222656,192.56774554157465, 218.49259177087555, -41.794857025146484,207.58098312266137, 178.87424007233355, -56.983436584472656,224.27635796060173, 150.81967595868406, -60.95172119140625,240.67654289989235, 130.92549201613474, -63.552886962890625,172.63931117681182, 216.03839505354702, -40.41950607299805,182.35066290101332, 183.22106386570317, -53.7750129699707,192.43691143223037, 162.56349568548987, -60.0158805847168,204.64223010632026, 147.50618159314996, -65.46998596191406
762,183.7001759171718, 247.48530269249218, -0.0012599602341651917,218.80074691507232, 242.44541839075504, -11.36454963684082,246.6995395906157, 223.53449930580956, -22.7807674407959,260.8390416755636, 200.7673264789371, -32.95425796508789,264.0057253287285, 182.76260545457464, -42.767311096191406,235.9969754444887, 202.31944795699587, -31.9962100982666,250.53214952137915, 175.93527203683095, -47.67750930786133,261.64434423124925, 158.51337270366284, -58.208038330078125,272.09822702514714, 143.10800338735882, -65.29190826416016,214.39798098894724, 195.54677481958402, -33.89620590209961,226.98257957098826, 164.16992857532918, -53.195858001708984,241.51841634279037, 143.85884380106373, -64.6102523803711,254.7904963874601, 126.83517177582307, -72.92953491210938,193.3198374862452, 194.5275182385008, -35.42353439331055,203.306405272625, 165.50571409650536, -51.275814056396484,216.99303325707086, 149.8430448593805, -58.390167236328125,230.54158924991705, 138.27274218171954, -63.6419563293457,173.36567972021572, 198.8143469145106, -37.408050537109375,181.65361702835122, 178.30377048844474, -49.74465560913086,192.34652318801227, 168.79401212946465, -55.56364440917969,203.95608130044468, 161.99930962243127, -60.27019500732422
1090,191.22257020942965, 333.7994247054335, -0.0009284466505050659,226.16196264655105, 301.4881225088623, -2.8841371536254883,236.50118744576505, 258.0064151050171, -2.528590202331543,237.42138239251378, 219.80373415308182, -3.8187108039855957,239.222841223368, 190.32981183653786, -5.66735315322876,192.83404072286237, 226.95011149766182, 10.74287223815918,189.73024952604757, 188.3423530919296, 11.233306884765625,188.75357033581034, 159.7202457012179, 9.250969886779785,189.0608342099783, 135.80932916411854, 7.0932440757751465,169.11098095660242, 230.33228585020203, 7.6211652755737305,159.10686846666022, 188.62762171659497, 9.395045280456543,154.82458404721032, 155.95915454917198, 5.917662143707275,153.28458562101702, 129.44199246277725, 2.8468017578125,150.61955448335812, 239.0039377705393, 2.6081831455230713,137.7254823070304, 201.82659538510345, 2.2632362842559814,132.5641087714642, 171.79330768429614, -1.4443111419677734,131.69842489900614, 147.77694162855357, -4.4383864402771,135.1065848994461, 251.7624848971112, -3.357846736907959,124.42639586360444, 222.07690496651904, -5.407556056976318,120.90029542353267, 199.62691194360315, -8.270977020263672,120.26668038126047, 178.4785169950161, -10.620134353637695
1196,175.74827926792526, 316.274687524211, -0.0018401220440864563,215.5480814524478, 295.3682346390367, -14.0847806930542,229.5445502654544, 260.85847043084834, -21.944307327270508,232.42582189456024, 225.00364763815364, -28.874313354492188,234.58212142611495, 197.90180474710652, -37.2252082824707,212.43124704911065, 236.5844018718072, -18.475454330444336,217.65829972171488, 204.98621857714556, -28.18595314025879,220.60912832906988, 183.85815293922698, -35.62285614013672,222.98385499949293, 169.94425231477192, -40.6707649230957,184.919034450536, 233.34668947704583, -17.524673461914062,179.48408341357057, 200.3756930972751, -27.1385555267334,176.69119568308494, 181.11664357542037, -33.77699661254883,173.2955426326985, 169.19067912947264, -38.096763610839844,161.73044487870936, 233.8717245873214, -17.87244987487793,156.63504892508456, 197.84140530159755, -27.46402359008789,164.33183587459834, 173.61249148029373, -33.773597717285156,171.7516090084639, 159.2940708355023, -37.53752517700195,142.4099574462988, 238.31062960273815, -19.283222198486328,136.51882208028167, 210.12266670311982, -28.394615173339844,138.68989439452028, 192.3482844379157, -33.272029876708984,141.80406931815764, 180.34244464692435, -36.63965606689453
1306,174.43667135944133, 305.87131834136324, -0.001679450273513794,222.96816175079726, 289.76039481985265, -11.95677375793457,258.4702270648006, 257.53530758460084, -19.017169952392578,280.2697042529825, 224.41597770013834, -25.718103408813477,291.5176703501221, 198.2476538946031, -31.021337509155273,245.10897702446837, 190.36998471198763, -3.1452202796936035,255.6629741369337, 149.31795229402712, -11.852483749389648,257.5730976882909, 142.54872567574586, -18.3519344329834,258.8010782448038, 146.08174402178622, -21.238739013671875,217.10946572371614, 181.22916656450442, -2.8708553314208984,222.11771325688701, 134.48509337000328, -14.564212799072266,226.3859097271295, 137.23869188941694, -22.986957550048828,231.51566823299322, 148.38597212612237, -26.119436264038086,189.95645629044907, 181.29165466778247, -4.767725467681885,191.83262552203064, 136.5880906176364, -15.457204818725586,200.37300121177267, 139.48983322510844, -22.86174774169922,208.90333529678713, 149.48014532066233, -25.256208419799805,165.0075718019221, 188.18827494914348, -7.843808650970459,166.91322378139495, 153.40693294694503, -16.138456344604492,177.83759333932764, 151.41031373946487, -21.271541595458984,189.960602110401, 157.6878415064348, -23.0023193359375
